simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
75.40,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_011,targeted_vehicle_012,targeted_vehicle_011;targeted_vehicle_012,targeted_vehicle_011;targeted_vehicle_012,83.90,targeted_vehicle_011,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
76.00,HIGH,targeted_vehicle_010,targeted_vehicle_011,RELEASE_NEXT_VEHICLE,targeted_vehicle_011,targeted_vehicle_011,targeted_vehicle_011,targeted_vehicle_012,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
76.00,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012,83.90,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
77.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_012,targeted_vehicle_013,targeted_vehicle_013;targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,83.74,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=73.9 remaining_to_hold_m=61.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
78.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_012,targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,86.70,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=62.7 remaining_to_hold_m=50.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
79.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_012,targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,94.31,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=56.1 remaining_to_hold_m=43.6 speed_mps=4.58 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.52.
81.80,HIGH,targeted_vehicle_012,targeted_vehicle_013,SLOW_NEAR_ENTRY,targeted_vehicle_012,targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,84.80,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=40.4 remaining_to_hold_m=27.9 speed_mps=13.00 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.20.
82.50,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,83.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
82.50,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,83.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
82.60,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,83.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
82.60,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,83.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
82.70,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,83.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
82.70,HIGH,targeted_vehicle_012,targeted_vehicle_013,RELEASE_NEXT_VEHICLE,targeted_vehicle_012,targeted_vehicle_012,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,83.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
82.80,HIGH,targeted_vehicle_012,targeted_vehicle_013,SLOW_NEAR_ENTRY,targeted_vehicle_012,targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,targeted_vehicle_012;targeted_vehicle_013,84.80,targeted_vehicle_012,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=30.0 remaining_to_hold_m=17.5 speed_mps=8.26 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.25.
